City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
308,Vallenar,CL,78.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
309,Inhambane,MZ,75.97,few clouds,-23.865,35.3833,Oceano
310,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
312,Hualmay,PE,69.66,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
314,Kieta,PG,83.57,few clouds,-6.2167,155.6333,Uruna Bay Retreat
315,Byron Bay,AU,76.87,few clouds,-28.65,153.6167,Backpackers Inn
318,Kelo,TD,80.01,broken clouds,9.3086,15.8066,Plantation de Kelo
324,Epe,NG,79.68,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
327,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
328,Ponta Do Sol,PT,65.03,broken clouds,32.6667,-17.1,Hotel do Campo
329,Tubmanburg,LR,75.9,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
330,Ahome,MX,87.75,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
331,Kiunga,PG,76.66,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
332,Bengkulu,ID,76.37,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
338,Parsons,US,71.71,broken clouds,37.3403,-95.2611,Parsons Inn
339,Laguna,US,76.23,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
340,Atambua,ID,76.21,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
341,Menongue,AO,66.9,light rain,-14.6585,17.691,Ritz Lauca
342,Namibe,AO,73.27,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
345,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
346,Marilia,BR,76.32,few clouds,-22.2139,-49.9458,Hotel Tenda
349,Rio Gallegos,AR,69.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
350,Mana,GF,77.85,scattered clouds,5.6592,-53.7767,LE SAMANA
352,Emerald,AU,82.98,overcast clouds,-23.5333,148.1667,The Irish Village
354,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
355,Chicama,PE,66.74,broken clouds,-7.8447,-79.1469,Balihai Bungalows
356,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
367,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
371,Buta,CD,69.33,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
373,Bonthe,SL,80.47,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
374,Sokone,SN,85.89,overcast clouds,13.8833,-16.3667,Hôtel le Caïman
375,Lichinga,MZ,68.09,clear sky,-13.3128,35.2406,Residencial Bendiak
376,Sao Filipe,CV,75.83,overcast clouds,14.8961,-24.4956,Hotel Xaguate
379,Pangkalanbuun,ID,74.34,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
382,Zvishavane,ZW,78.06,clear sky,-20.3267,30.0665,Hotel Boutique Runde
383,San Juan,AR,74.97,broken clouds,-31.5375,-68.5364,Hotel Provincial
384,Bucerias,MX,82.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
388,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
390,Grand-Lahou,CI,79.79,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
392,Sonamukhi,IN,69.01,overcast clouds,23.3,87.4167,Debraj Guest House
393,Sitio Novo Do Tocantins,BR,76.3,overcast clouds,-5.5183,-47.4611,Imperial Hotel
400,Altagracia De Orituco,VE,77.04,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
402,Coihaique,CL,67.95,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
405,Parit Buntar,MY,78.94,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
407,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
408,Omboue,GA,76.19,moderate rain,-1.5746,9.2618,Hotel Olako
412,Bellary,IN,72.95,overcast clouds,15.15,76.9333,Hotel Pawan
413,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
416,Dingle,PH,72.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
417,Robertson,US,75.09,clear sky,36.5167,-86.8667,Hampton Inn Springfield
418,Ahuimanu,US,78.78,moderate rain,21.4447,-157.8378,Paradise Bay Resort
419,Camargo,MX,77.5,clear sky,27.6667,-105.1667,Hotel Santa Fe
423,Cap Malheureux,MU,77.49,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
425,Kesinga,IN,67.51,overcast clouds,20.2,83.2333,Hotel Jayashree
426,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
427,Caravelas,BR,74.37,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
433,Bibiani,GH,75.47,scattered clouds,6.4635,-2.3194,Rodick Hotel
435,Wilmington,US,68.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
436,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
438,Bac Lieu,VN,72.09,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
439,Port-Gentil,GA,76.96,moderate rain,-0.7193,8.7815,Fengshui Residence
441,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
442,Concordia,AR,82.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
443,Cacoal,BR,76.17,overcast clouds,-11.4386,-61.4472,Hotel BR 364
