City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Urdoma,RU,61.7533,48.5442,-4.95,98,91,4.92,overcast clouds
294,Draguignan,FR,43.5333,6.4667,44.38,55,82,6.91,broken clouds
295,Knyaze-Volkonskoye,RU,48.4642,135.4567,-9.06,100,35,2.68,scattered clouds
296,Mogadishu,SO,2.0371,45.3438,79.56,75,3,14.81,clear sky
297,Santa Rosa,PH,14.3122,121.1114,75.85,73,93,13.13,overcast clouds
298,Aloleng,PH,16.1307,119.7824,77.23,63,97,13.33,overcast clouds
299,Uyemskiy,RU,64.4743,40.8524,-5.75,92,40,4.47,scattered clouds
300,Senneterre,CA,48.3835,-77.2328,7.02,81,70,7.81,broken clouds
301,Les Trois-Ilets,MQ,14.539,-61.0361,80.73,78,0,8.05,clear sky
302,Belyy Yar,RU,53.6039,91.3903,21.85,78,100,4.47,smoke
303,Amga,RU,60.8953,131.9608,-34.69,100,77,2.39,broken clouds
304,Ostrovnoy,RU,68.0531,39.5131,22.05,69,100,9.57,overcast clouds
305,Darien,US,41.752,-87.974,52.2,60,75,1.01,broken clouds
306,Ozernovskiy,RU,51.5,156.5167,38.32,82,100,14.67,overcast clouds
307,Coahuayana,MX,18.7333,-103.6833,89.08,64,57,5.64,broken clouds
308,Vallenar,CL,-28.5708,-70.7581,78.26,30,0,6.35,clear sky
309,Inhambane,MZ,-23.865,35.3833,75.97,96,15,8.59,few clouds
310,Antofagasta,CL,-23.65,-70.4,65.48,66,28,7.94,scattered clouds
311,Shebunino,RU,46.4339,141.8603,28.29,79,93,11.39,overcast clouds
312,Hualmay,PE,-11.0964,-77.6139,69.66,79,51,11.79,broken clouds
313,Gravdal,NO,68.1214,13.5031,28.29,50,40,13.8,scattered clouds
314,Kieta,PG,-6.2167,155.6333,83.57,71,14,0.87,few clouds
315,Byron Bay,AU,-28.65,153.6167,76.87,75,23,2.35,few clouds
