City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
20,Vredendal,ZA,2021-11-30 22:59:59,-31.6683,18.5012,62.38,69,10,5.97
21,Tessalit,ML,2021-11-30 22:59:59,20.1986,1.0114,74.44,19,100,8.3
22,Hobart,AU,2021-11-30 22:59:59,-42.8794,147.3294,73.06,57,0,4.0
23,Jamestown,US,2021-11-30 23:00:00,42.097,-79.2353,38.71,90,98,5.99
24,Faanui,PF,2021-11-30 23:00:00,-16.4833,-151.75,81.21,74,100,17.31
25,Caravelas,BR,2021-11-30 23:00:01,-17.7125,-39.2481,78.55,84,63,14.2
26,Katsuura,JP,2021-11-30 23:00:01,35.1333,140.3,68.18,92,100,43.6
27,Albany,US,2021-11-30 22:59:23,42.6001,-73.9662,34.99,81,100,2.71
28,Avarua,CK,2021-11-30 23:00:02,-21.2078,-159.775,80.65,69,40,13.8
29,Padang,ID,2021-11-30 23:00:02,-0.9492,100.3543,75.42,87,74,3.38
30,Port Lincoln,AU,2021-11-30 23:00:03,-34.7333,135.8667,62.69,71,43,15.1
31,Cape Town,ZA,2021-11-30 22:58:40,-33.9258,18.4232,63.09,74,0,6.91
32,Port Elizabeth,ZA,2021-11-30 23:00:04,-33.918,25.5701,64.09,84,66,0.34
33,Yonago,JP,2021-11-30 23:00:04,35.4333,133.3333,45.64,64,85,25.55
34,Praia Da Vitoria,PT,2021-11-30 23:00:05,38.7333,-27.0667,62.76,82,99,11.07
35,Innisfail,AU,2021-11-30 23:00:07,-17.5333,146.0333,84.36,70,43,3.58
36,Port Blair,IN,2021-11-30 23:00:08,11.6667,92.75,79.45,84,100,18.32
37,Port Alfred,ZA,2021-11-30 23:00:08,-33.5906,26.891,65.43,80,88,5.59
38,Cherskiy,RU,2021-11-30 23:00:09,68.75,161.3,-15.75,98,100,5.12
39,Assiniboia,CA,2021-11-30 23:00:09,49.6334,-105.9845,43.63,58,59,10.76
40,Busselton,AU,2021-11-30 23:00:10,-33.65,115.3333,53.04,70,80,2.98
41,Thompson,CA,2021-11-30 22:59:02,55.7435,-97.8558,-3.84,84,40,0.0
42,Iralaya,HN,2021-11-30 23:00:12,15.0,-83.2333,77.59,69,6,12.01
43,Boyolangu,ID,2021-11-30 23:01:12,-8.1181,111.8935,76.26,87,100,1.81
44,Bambous Virieux,MU,2021-11-30 23:01:13,-20.3428,57.7575,73.22,77,7,10.0
45,East London,ZA,2021-11-30 23:00:06,-33.0153,27.9116,66.69,81,84,5.73
